support,itemset,itemset_size
0.9591657986933055,low_wrongs,1
0.8692595398163053,high_completion,1
0.8358583467474671,high_completion | low_wrongs,2
0.6999573903986365,low_effort | low_wrongs,2
0.6999573903986365,low_effort,1
0.6999573903986365,low_struggle,1
0.6999573903986365,low_struggle | low_wrongs,2
0.699933718397879,typical_help,1
0.6894470220623047,low_wrongs | typical_help,2
0.6140043556481394,low_effort | typical_help,2
0.6140043556481394,low_effort | low_wrongs | typical_help,3
0.6062872834011931,high_completion | typical_help,2
0.6041568033330177,high_completion | low_struggle,2
0.6041568033330177,high_completion | low_struggle | low_wrongs,3
0.6039674273269576,low_effort | low_struggle | low_wrongs,3
0.6039674273269576,low_effort | low_struggle,2
0.5981441151406117,high_completion | low_wrongs | typical_help,3
0.5921314269482056,high_completion | low_effort | low_wrongs,3
0.5921314269482056,high_completion | low_effort,2
0.5836331786762617,low_score,1
0.5636776820376859,low_struggle | low_wrongs | typical_help,3
0.5636776820376859,low_struggle | typical_help,2
0.5508001136256037,low_score | low_wrongs,2
0.5345847931067134,low_effort | low_struggle | low_wrongs | typical_help,4
0.5345847931067134,low_effort | low_struggle | typical_help,3
0.5252343528074993,high_completion | low_effort | typical_help,3
0.5252343528074993,high_completion | low_effort | low_wrongs | typical_help,4
0.511220528359057,high_completion | low_effort | low_struggle | low_wrongs,4
0.511220528359057,high_completion | low_effort | low_struggle,3
0.48610453555534516,high_completion | low_struggle | low_wrongs | typical_help,4
0.48610453555534516,high_completion | low_struggle | typical_help,3
0.4833585834674747,high_completion | low_score,2
0.4571300066281602,high_completion | low_effort | low_struggle | typical_help,4
0.4571300066281602,high_completion | low_effort | low_struggle | low_wrongs | typical_help,5
0.4570589906258877,high_completion | low_score | low_wrongs,3
0.41636682132373826,high_score,1
0.40836568506770193,high_score | low_wrongs,2
0.3859009563488306,high_completion | high_score,2
0.3787993561215794,high_completion | high_score | low_wrongs,3
0.3631521636208692,low_effort | low_score,2
0.3631521636208692,low_effort | low_score | low_wrongs,3
0.3569500994224032,low_score | low_struggle | low_wrongs,3
0.3569500994224032,low_score | low_struggle,2
0.3563346274027081,high_score | typical_help,2
0.35318625130196,few_problems,1
0.3530678912981725,high_score | low_wrongs | typical_help,3
0.34802575513682416,med_problems,1
0.3435990909951709,low_score | typical_help,2
0.34300729097623334,high_score | low_struggle,2
0.34300729097623334,high_score | low_struggle | low_wrongs,3
0.33680522677776725,high_score | low_effort | low_wrongs,3
0.33680522677776725,high_score | low_effort,2
0.3363791307641322,low_score | low_wrongs | typical_help,3
0.33555061073761955,low_wrongs | med_problems,2
0.33195246662247896,few_problems | low_wrongs,2
0.33072152258308873,high_completion | high_score | typical_help,3
0.32778619448915824,high_completion | high_score | low_wrongs | typical_help,4
0.32487453839598524,high_completion | med_problems,2
0.3186961461982767,high_score | low_effort | typical_help,3
0.3186961461982767,high_score | low_effort | low_wrongs | typical_help,4
0.317725594167219,high_completion | high_score | low_struggle | low_wrongs,4
0.317725594167219,high_completion | high_score | low_struggle,3
0.3134883060316258,high_completion | low_wrongs | med_problems,3
0.311996969983903,high_score | low_struggle | typical_help,3
0.311996969983903,high_score | low_struggle | low_wrongs | typical_help,4
