support,itemset,itemset_size
0.9960104176534448,no_explanation,1
0.9903308552275686,no_hints,1
0.9863418564376706,no_explanation | no_hints,2
0.8842270276600019,no_answer,1
0.8811546018597173,no_answer | no_explanation,2
0.8788551941113687,no_answer | no_hints,2
0.8757829628299697,no_answer | no_explanation | no_hints,3
0.8283010973393902,no_wrongs,1
0.8271462387147437,no_explanation | no_wrongs,2
0.8245278199937793,no_hints | no_wrongs,2
0.8233729613691328,no_explanation | no_hints | no_wrongs,3
0.7870432526358768,no_answer | no_wrongs,2
0.7860027711160462,no_answer | no_explanation | no_wrongs,3
0.7846006789876225,no_answer | no_hints | no_wrongs,3
0.783560197467792,no_answer | no_explanation | no_hints | no_wrongs,4
0.5591529013756181,fast,1
0.5578597398232096,fast | no_explanation,2
0.5548672612849646,fast | no_hints,2
0.553574099732556,fast | no_explanation | no_hints,3
0.5085178847471712,fast | no_answer,2
0.5074978277103435,fast | no_answer | no_explanation,3
0.5057312071900405,fast | no_answer | no_hints,3
0.5047111501532128,fast | no_answer | no_explanation | no_hints,4
0.4889864379487672,fast | no_wrongs,2
0.488418053764631,fast | no_explanation | no_wrongs,3
0.4866152527315801,fast | no_hints | no_wrongs,3
0.48604686854744383,fast | no_explanation | no_hints | no_wrongs,4
0.48477704926132426,correct_first_try | no_hints,2
0.48477704926132426,correct_first_try | no_answer,2
0.48477704926132426,correct_first_try | no_wrongs,2
0.48477704926132426,correct_first_try | no_answer | no_wrongs,3
0.48477704926132426,correct_first_try | no_answer | no_hints,3
0.48477704926132426,correct_first_try | no_hints | no_wrongs,3
0.48477704926132426,correct_first_try,1
0.48477704926132426,correct_first_try | no_answer | no_hints | no_wrongs,4
0.48373656774149376,correct_first_try | no_answer | no_explanation,3
0.48373656774149376,correct_first_try | no_explanation | no_hints,3
0.48373656774149376,correct_first_try | no_explanation,2
0.48373656774149376,correct_first_try | no_answer | no_explanation | no_hints | no_wrongs,5
0.48373656774149376,correct_first_try | no_answer | no_explanation | no_hints,4
0.48373656774149376,correct_first_try | no_explanation | no_hints | no_wrongs,4
0.48373656774149376,correct_first_try | no_answer | no_explanation | no_wrongs,4
0.48373656774149376,correct_first_try | no_explanation | no_wrongs,3
0.463199458303807,fast | no_answer | no_wrongs,3
0.4626919585309078,fast | no_answer | no_explanation | no_wrongs,4
0.46155227237934915,fast | no_answer | no_hints | no_wrongs,4
0.46104477260645,fast | no_answer | no_explanation | no_hints | no_wrongs,5
0.44822325477169417,numeric,1
0.445266956746197,no_explanation | numeric,2
0.4406315716989805,no_hints | numeric,2
0.4376756627112548,no_explanation | no_hints | numeric,3
0.3645628217220796,no_answer | numeric,2
0.36228753431556293,no_answer | no_explanation | numeric,3
0.36024100111867813,no_answer | no_hints | numeric,3
0.3579659082310472,no_answer | no_explanation | no_hints | numeric,4
0.3440513887773107,no_wrongs | numeric,2
0.34320134124662094,no_explanation | no_wrongs | numeric,3
0.3409414208320779,no_hints | no_wrongs | numeric,3
0.34009137330138817,no_explanation | no_hints | no_wrongs | numeric,4
0.33928606511441894,correct_first_try | fast | no_wrongs,3
0.33928606511441894,correct_first_try | fast | no_answer | no_hints | no_wrongs,5
0.33928606511441894,correct_first_try | fast,2
0.33928606511441894,correct_first_try | fast | no_hints | no_wrongs,4
0.33928606511441894,correct_first_try | fast | no_answer | no_wrongs,4
0.33928606511441894,correct_first_try | fast | no_answer | no_hints,4
0.33928606511441894,correct_first_try | fast | no_hints,3
0.33928606511441894,correct_first_try | fast | no_answer,3
0.33877856534151973,correct_first_try | fast | no_answer | no_explanation,4
0.33877856534151973,correct_first_try | fast | no_answer | no_explanation | no_wrongs,5
0.33877856534151973,correct_first_try | fast | no_explanation | no_hints,4
0.33877856534151973,correct_first_try | fast | no_explanation | no_wrongs,4
0.33877856534151973,correct_first_try | fast | no_answer | no_explanation | no_hints | no_wrongs,6
0.33877856534151973,correct_first_try | fast | no_answer | no_explanation | no_hints,5
0.33877856534151973,correct_first_try | fast | no_explanation,3
0.33877856534151973,correct_first_try | fast | no_explanation | no_hints | no_wrongs,5
0.3130810643840005,no_answer | no_wrongs | numeric,3
0.3123232188051522,no_answer | no_explanation | no_wrongs | numeric,4
0.31103044629051513,no_answer | no_hints | no_wrongs | numeric,4
0.3102726007116668,no_answer | no_explanation | no_hints | no_wrongs | numeric,5
0.3063129742735157,correct_first_try | no_answer | no_hints | no_wrongs | numeric,5
0.3063129742735157,correct_first_try | no_answer | no_wrongs | numeric,4
0.3063129742735157,correct_first_try | no_hints | numeric,3
0.3063129742735157,correct_first_try | no_wrongs | numeric,3
0.3063129742735157,correct_first_try | no_answer | numeric,3
0.3063129742735157,correct_first_try | no_answer | no_hints | numeric,4
0.3063129742735157,correct_first_try | no_hints | no_wrongs | numeric,4
0.3063129742735157,correct_first_try | numeric,2
0.3055551286946674,correct_first_try | no_explanation | no_wrongs | numeric,4
0.3055551286946674,correct_first_try | no_answer | no_explanation | no_hints | no_wrongs | numeric,6
0.3055551286946674,correct_first_try | no_answer | no_explanation | no_hints | numeric,5
0.3055551286946674,correct_first_try | no_explanation | no_hints | no_wrongs | numeric,5
0.3055551286946674,correct_first_try | no_explanation | numeric,3
0.3055551286946674,correct_first_try | no_explanation | no_hints | numeric,4
0.3055551286946674,correct_first_try | no_answer | no_explanation | no_wrongs | numeric,5
0.3055551286946674,correct_first_try | no_answer | no_explanation | numeric,4
0.30263870704074725,open,1
0.30262314552988795,no_hints | open,2
0.3026212003410305,no_explanation | open,2
0.30260583334905694,no_explanation | no_hints | open,3
0.30217166719608224,gave_up | no_hints,2
0.30217166719608224,gave_up | no_explanation | no_hints,3
0.30217166719608224,gave_up | no_explanation,2
0.30217166719608224,gave_up,1
0.3021656371106243,gave_up | no_answer | no_explanation | no_hints,4
0.3021656371106243,gave_up | no_answer | no_hints,3
0.3021656371106243,gave_up | no_answer | no_explanation,3
0.3021656371106243,gave_up | no_answer,2
0.3010164195336643,no_answer | open,2
0.3010135017503782,no_answer | no_hints | open,3
0.301006888108263,no_answer | no_explanation | open,3
0.3010039703249769,no_answer | no_explanation | no_hints | open,4
0.3007580984533998,no_wrongs | open,2
0.30075615326454236,no_explanation | no_wrongs | open,3
0.3007557642267709,no_hints | no_wrongs | open,3
0.3007538190379135,no_explanation | no_hints | no_wrongs | open,4
0.3001473091521719,no_answer | no_wrongs | open,3
0.3001467255955147,no_answer | no_hints | no_wrongs | open,4
0.3001461420388575,no_answer | no_explanation | no_wrongs | open,4
0.30014555848220026,no_answer | no_explanation | no_hints | no_wrongs | open,5
0.2998273255851274,gave_up | no_hints | no_wrongs,3
0.2998273255851274,gave_up | no_wrongs,2
0.2998273255851274,gave_up | no_explanation | no_wrongs,3
0.2998273255851274,gave_up | no_explanation | no_hints | no_wrongs,4
0.29982362972629834,gave_up | no_answer | no_hints | no_wrongs,4
0.29982362972629834,gave_up | no_answer | no_explanation | no_hints | no_wrongs,5
0.29982362972629834,gave_up | no_answer | no_explanation | no_wrongs,4
0.29982362972629834,gave_up | no_answer | no_wrongs,3
0.2882528683268594,gave_up | open,2
0.2882528683268594,gave_up | no_answer | no_hints | open,4
